annsoin;semsoin;_TYPE_;_FREQ_;nb_lignes
2013;33;0;324;499805
2013;34;0;324;543111
2013;35;0;324;580292
2013;36;0;324;706718
2013;37;0;324;930663
2013;38;0;324;1013839
2013;39;0;324;989046
2013;40;0;324;959366
2013;41;0;324;972136
2013;42;0;324;904336
2013;43;0;324;712513
2013;44;0;324;868762
2013;45;0;324;783497
2013;46;0;324;965734
2013;47;0;324;1054993
2013;48;0;324;1121589
2013;49;0;324;1165905
2013;50;0;324;1253286
2013;51;0;324;990388
2013;52;0;323;419890
2014;0;0;312;569575
2014;1;0;315;1122195
2014;2;0;316;1035603
2014;3;0;316;1118476
2014;4;0;318;1213172
2014;5;0;318;1273000
2014;6;0;318;1265277
2014;7;0;319;1202453
2014;8;0;322;1079435
2014;9;0;323;976671
2014;10;0;322;903074
2014;11;0;323;872595
2014;12;0;323;896329
2014;13;0;324;934739
2014;14;0;324;916404
2014;15;0;324;903921
2014;16;0;324;741961
2014;17;0;324;702383
2014;18;0;324;663078
2014;19;0;324;733350
2014;20;0;324;728513
2014;21;0;324;688596
2014;22;0;324;826013
2014;23;0;322;672107
2014;24;0;324;765732
2014;25;0;324;734226
2014;26;0;324;731508
2014;27;0;324;733140
2014;28;0;323;579013
2014;29;0;324;637397
2014;30;0;324;584869
2014;31;0;319;505878
2014;32;0;321;420733
2014;33;0;320;512694
2014;34;0;321;558934
2014;35;0;322;609081
2014;36;0;323;700374
2014;37;0;324;831107
2014;38;0;324;905524
2014;39;0;324;919799
2014;40;0;324;988716
2014;41;0;323;987861
2014;42;0;324;920172
2014;43;0;324;789381
2014;44;0;324;878660
2014;45;0;324;784175
2014;46;0;324;974738
2014;47;0;324;1052404
2014;48;0;324;1154853
2014;49;0;324;1241605
2014;50;0;324;1313314
2014;51;0;324;956764
2014;52;0;324;594679
2015;0;0;312;367809
2015;1;0;314;1275092
2015;2;0;314;1203632
2015;3;0;318;1307480
2015;4;0;316;1456766
2015;5;0;320;1514868
2015;6;0;319;1494215
2015;7;0;321;1328343
2015;8;0;324;1114585
2015;9;0;323;973028
2015;10;0;323;927523
2015;11;0;324;922944
2015;12;0;324;962740
2015;13;0;320;973667
2015;14;0;319;836864
2015;15;0;319;880328
2015;16;0;321;790289
2015;17;0;322;647267
2015;18;0;324;639832
2015;19;0;324;642334
2015;20;0;324;765384
2015;21;0;323;690808
2015;22;0;323;792249
2015;23;0;324;804546
2015;24;0;324;772963
2015;25;0;324;741472
2015;26;0;321;698532
2015;27;0;321;713976
2015;28;0;324;554143
2015;29;0;324;611924
2015;30;0;324;580081
2015;31;0;313;493788
2015;32;0;312;450246
2015;33;0;312;499303
2015;34;0;312;541552
2015;35;0;312;601868
2015;36;0;312;748784
2015;37;0;312;927970
2015;38;0;312;1023813
2015;39;0;312;1069090
2015;40;0;312;1025117
2015;41;0;312;1047308
2015;42;0;312;955644
2015;43;0;312;848416
2015;44;0;312;848172
2015;45;0;312;746355
2015;46;0;312;944158
2015;47;0;312;1009330
2015;48;0;316;1073119
2015;49;0;316;1122479
2015;50;0;316;1182830
2015;51;0;316;933377
2015;52;0;315;786480
2016;0;0;298;120066
2016;1;0;308;1204158
2016;2;0;310;1047470
2016;3;0;310;1115680
2016;4;0;310;1177222
2016;5;0;311;1211823
2016;6;0;312;1164190
2016;7;0;312;1124799
2016;8;0;315;1076036
2016;9;0;312;1061991
2016;10;0;315;1122944
2016;11;0;315;1165110
2016;12;0;315;1165709
2016;13;0;315;959419
2016;14;0;312;940245
2016;15;0;311;821228
2016;16;0;312;753278
2016;17;0;312;741893
2016;18;0;312;643984
2016;19;0;312;786927
2016;20;0;312;675104
2016;21;0;312;773144
2016;22;0;312;814338
2016;23;0;312;808915
2016;24;0;312;845330
2016;25;0;312;806172
2016;26;0;312;840957
2016;27;0;312;780650
2016;28;0;311;649449
2016;29;0;312;670195
2016;30;0;312;623171
2016;31;0;312;538241
2016;32;0;312;493348
2016;33;0;312;431455
2016;34;0;312;508295
2016;35;0;312;576508
2016;36;0;312;596228
2016;37;0;312;699798
2016;38;0;315;832992
2016;39;0;312;935462
2016;40;0;311;981038
2016;41;0;312;1029428
2016;42;0;312;987042
2016;43;0;312;887596
2016;44;0;312;768150
2016;45;0;312;780302
2016;46;0;312;973060
2016;47;0;312;1012533
2016;48;0;312;1107567
2016;49;0;312;1240697
2016;50;0;312;1385927
2016;51;0;312;1413067
2016;52;0;312;1155630
2017;0;0;278;13183
2017;1;0;303;1346291
2017;2;0;308;1237697
2017;3;0;307;1211460
2017;4;0;308;1261225
2017;5;0;307;1247753
2017;6;0;310;1118389
2017;7;0;311;954434
2017;8;0;314;859753
2017;9;0;311;817516
2017;10;0;310;800386
2017;11;0;311;818944
2017;12;0;314;864115
2017;13;0;312;868088
2017;14;0;312;840979
2017;15;0;311;777725
2017;16;0;312;658834
2017;17;0;312;760482
2017;18;0;310;665851
2017;19;0;311;666795
2017;20;0;312;734287
2017;21;0;313;621122
2017;22;0;312;744385
2017;23;0;312;630843
2017;24;0;312;680561
2017;25;0;313;658588
2017;26;0;315;698585
2017;27;0;313;680563
2017;28;0;312;593961
2017;29;0;312;647119
2017;30;0;312;605473
2017;31;0;312;537982
2017;32;0;312;506385
2017;33;0;312;420245
2017;34;0;311;524011
2017;35;0;311;559057
2017;36;0;312;610356
2017;37;0;312;780538
2017;38;0;312;1001804
2017;39;0;313;1045015
2017;40;0;314;992881
2017;41;0;313;961821
2017;42;0;312;929661
2017;43;0;314;846814
2017;44;0;314;712728
2017;45;0;312;789631
2017;46;0;313;885840
2017;47;0;312;964896
2017;48;0;314;1030522
2017;49;0;312;1116686
2017;50;0;312;1214444
2017;51;0;314;1342315
2017;52;0;313;1092503
